companyName,flightNumber, country-of-origin,country-of-destination,stopover,price,time-of-departure,time-of-arrival,date
Azul Brazilian Airlines,118,Belgium,Anguilla,3,645,15:17,1:40,14May
Insel Air,113,Pakistan,Tunisia,2,1845,17:38,20:59,24Oct
Gol Transportes Aéreos,35,Réunion,Guernsey,0,1116,16:12,9:23,14Aug
Viva Air Colombia,52,Turks and Caicos Islands,Lithuania,3,1887,1:54,10:23,16Aug
Boliviana de Aviación,133,Grenada,Greece,0,588,14:3,11:20,2Oct
Conviasa,68,Zambia,Seychelles,2,914,18:23,1:7,20Dec
American Airlines,35,Nauru,Somalia,3,1358,7:28,14:27,27May
Insel Air,45,Ethiopia,Netherlands,2,1541,3:0,13:49,14Jul
Avianca Airlines,145,Bahrain,Turks and Caicos Islands,2,392,24:40,3:52,5Sep
American Airlines,108,Bouvet Island,Canada,3,1778,18:47,2:51,9Dec
Boliviana de Aviación,144,Australia,Niue,2,479,8:59,24:3,8Nov
Boliviana de Aviación,45,Cuba,France,1,1339,10:6,20:45,7Jun
Avianca Airlines,134,Costa Rica,Palau,2,1871,19:4,17:37,10Mar
Viva Air Colombia,13,Somalia,Timor-Leste,0,819,6:20,10:34,20Apr
American Airlines,98,Saint Pierre and Miquelon,"Tanzania, United Republic of",0,405,6:45,4:41,23Feb
Boliviana de Aviación,105,Paraguay,Montserrat,0,1093,19:59,13:36,7Nov
Insel Air,105,"Iran, Islamic Republic of",Dominican Republic,0,1746,18:27,23:18,14Nov
American Airlines,118,Cook Islands,Mongolia,2,1158,17:48,11:42,16Mar
Avianca Airlines,76,Uganda,Togo,2,672,2:37,1:54,22Sep
Insel Air,27,Ecuador,Saint Kitts and Nevis,1,335,16:50,5:57,9Jan
Línea Aérea Amaszonas,72,"Saint Helena, Ascension and Tristan da Cunha",Chad,3,483,14:45,8:18,15Jul
Avianca Airlines,83,Andorra,Antarctica,0,905,1:25,24:17,17Sep
LATAM Airlines,135,Serbia,Maldives,0,1273,6:26,14:23,17Apr
LATAM Airlines,93,Pitcairn,Dominica,3,921,17:33,20:13,2May
LATAM Airlines,146,Malawi,Saint Kitts and Nevis,0,492,15:19,19:37,6Apr
Avianca Airlines,135,India,Estonia,1,937,16:24,10:8,2Mar
Línea Aérea Amaszonas,63,Kazakhstan,Iraq,1,1090,2:24,22:44,21Mar
Azul Brazilian Airlines,73,Syrian Arab Republic,"Korea, Democratic People's Republic of",0,1473,18:1,8:37,23Jul
Gol Transportes Aéreos,121,Romania,Zambia,0,1458,6:41,8:22,22Oct
Copa Airlines,116,Burkina Faso,Spain,2,1200,1:38,17:57,1Mar
Azul Brazilian Airlines,78,Mauritius,Luxembourg,0,876,16:18,16:27,12Sep
TAME,63,Palau,Faroe Islands,3,358,16:14,4:14,29Mar
Línea Aérea Amaszonas,130,South Africa,Nicaragua,3,534,6:21,12:28,1Apr
TAME,150,Slovakia,"Micronesia, Federated States of",3,656,4:13,21:8,13Aug
Boliviana de Aviación,78,Saudi Arabia,Saint Lucia,0,1296,23:30,22:8,17Nov
American Airlines,110,Christmas Island,Nauru,2,1316,22:25,19:28,7Nov
Aeromexico,134,Uruguay,Sao Tome and Principe,0,268,14:38,3:48,7Feb
TAME,19,Jersey,Martinique,2,1092,17:37,7:55,24Feb
Copa Airlines,148,Saint Martin (French part),"Korea, Democratic People's Republic of",3,413,21:4,4:42,1Aug
Alaska Airlines,117,Cocos (Keeling) Islands,France,1,212,16:10,12:14,20Dec
Conviasa,63,Chile,French Polynesia,1,938,18:27,5:41,20Aug
Viva Air Colombia,145,Gambia,Martinique,2,1750,4:47,20:56,2Jan
Aeromexico,67,Paraguay,Curaçao,3,363,8:50,23:3,7Sep
Air Canada,98,Italy,Austria,3,892,7:53,23:36,20Jun
Conviasa,73,United Arab Emirates,Jersey,1,1089,0:32,6:12,3Nov
Gol Transportes Aéreos,38,Guernsey,Benin,2,705,10:45,19:52,7Jun
Azul Brazilian Airlines,6,Faroe Islands,Saint Barthélemy,1,869,24:16,16:40,14May
Insel Air,141,Djibouti,Uruguay,1,1577,13:8,23:53,19Sep
Alaska Airlines,7,Barbados,Andorra,2,1192,18:39,13:17,21Jan
Insel Air,29,El Salvador,Costa Rica,0,1951,3:52,15:50,20Jul
Aeromexico,42,Tuvalu,Turkey,2,766,14:31,14:45,11Jun
Air Canada,81,Albania,Svalbard and Jan Mayen,0,421,24:45,4:43,27Sep
Aeromexico,70,Belarus,Philippines,3,1117,18:1,6:40,2Apr
Air Canada,90,Argentina,Cayman Islands,2,354,12:29,0:41,10May
TAME,149,United States,Monaco,3,1894,12:8,23:57,15Apr
TAME,37,Bulgaria,Estonia,2,706,14:41,4:26,12Jun
LATAM Airlines,72,Gibraltar,Bangladesh,1,1978,19:50,16:26,14Nov
Viva Air Colombia,98,Sri Lanka,"Palestinian Territory, Occupied",3,1633,18:24,7:56,24Sep
Avianca Airlines,79,Turkey,Algeria,1,1294,18:17,2:5,18Mar
Viva Air Colombia,123,"Venezuela, Bolivarian Republic of",Cuba,3,796,12:43,6:27,18Jul
Copa Airlines,10,"Korea, Republic of",Suriname,0,1791,23:43,4:37,20Aug
Air Canada,58,Brazil,Azerbaijan,2,1333,14:14,12:59,8Nov
Insel Air,39,Christmas Island,Benin,2,1837,2:28,10:45,27Apr
Boliviana de Aviación,122,Saint Pierre and Miquelon,Russian Federation,1,1508,24:21,18:32,27Nov
Conviasa,33,Nauru,Saint Lucia,2,516,17:12,7:23,23Feb
Azul Brazilian Airlines,143,Iraq,Tuvalu,1,1412,0:44,1:29,21Jan
Línea Aérea Amaszonas,128,Samoa,Saint Martin (French part),2,1739,5:22,1:38,6Jun
Conviasa,5,Egypt,Botswana,2,1904,4:48,13:51,25Nov
Aeromexico,35,Anguilla,"Taiwan, Province of China",2,259,10:1,23:22,16Jul
Aerolineas Argentinas Airlines,23,Turkey,Equatorial Guinea,2,1695,13:47,3:12,23May
Gol Transportes Aéreos,78,Spain,Cayman Islands,0,641,15:38,17:4,8May
Avianca Airlines,9,Niue,Maldives,3,233,6:25,9:46,25Aug
Conviasa,1,Netherlands,American Samoa,1,1191,11:58,10:28,1Dec
Conviasa,131,Trinidad and Tobago,Maldives,3,1478,17:59,22:43,15Oct
Azul Brazilian Airlines,35,Germany,Hungary,0,1882,12:3,2:23,17Feb
TAME,150,Ukraine,Mongolia,3,1869,6:9,10:41,23Sep
American Airlines,137,Malawi,Heard Island and McDonald Islands,0,1760,2:40,0:40,29Mar
TAME,147,Jordan,Bouvet Island,2,1488,16:56,13:17,16Jul
Alaska Airlines,30,Estonia,Kenya,1,1815,19:8,1:51,25Apr
Boliviana de Aviación,49,Hungary,Bahrain,2,464,9:52,2:34,4Nov
American Airlines,110,Trinidad and Tobago,Mauritania,1,1458,14:33,19:11,28Jun
TAME,75,Guadeloupe,Yemen,3,1518,7:32,17:0,24Nov
Gol Transportes Aéreos,57,Macao,Cuba,1,1495,3:19,7:30,24Jan
Boliviana de Aviación,98,Palau,Nepal,1,1742,0:42,17:44,21Sep
Azul Brazilian Airlines,70,United Arab Emirates,Switzerland,2,1772,8:0,8:34,22Nov
Viva Air Colombia,39,Angola,South Africa,0,497,2:47,12:55,29Apr
Conviasa,100,Jordan,Uruguay,1,431,8:44,23:18,24May
Aeromexico,121,Bhutan,Myanmar,3,216,20:48,24:3,4Mar
Azul Brazilian Airlines,130,Peru,Luxembourg,0,966,21:29,17:28,13Oct
Viva Air Colombia,74,Fiji,Brunei Darussalam,1,831,13:23,11:31,16Jun
Línea Aérea Amaszonas,15,Tunisia,Cook Islands,2,1302,17:10,22:9,11Sep
Insel Air,133,South Africa,Tuvalu,2,551,11:35,23:32,17Aug
Línea Aérea Amaszonas,60,San Marino,Kuwait,0,1819,24:54,17:56,6Feb
Línea Aérea Amaszonas,20,El Salvador,Greece,0,775,1:6,4:43,5Dec
Copa Airlines,113,Nauru,Sweden,2,269,18:43,13:18,22Feb
Air Canada,46,Iceland,Belize,1,1175,17:43,17:21,1Jan
Alaska Airlines,118,Norway,Denmark,2,505,20:41,2:30,22Dec
Avianca Airlines,81,Falkland Islands (Malvinas),Montenegro,0,790,13:40,0:50,9Apr
Viva Air Colombia,15,Wallis and Futuna,Uganda,2,1455,12:21,6:43,22Jul
Línea Aérea Amaszonas,119,Singapore,Zambia,1,956,9:34,20:23,8Jan
Aerolineas Argentinas Airlines,8,Bahamas,Cuba,3,459,11:16,23:31,20Aug
Boliviana de Aviación,110,Liberia,Jersey,3,1636,14:36,17:11,6Mar
Aeromexico,64,Tokelau,"Tanzania, United Republic of",2,558,4:25,24:37,7Dec
Copa Airlines,115,Oman,Estonia,3,331,12:17,5:47,15Feb
Gol Transportes Aéreos,109,Oman,Finland,2,1507,22:34,1:51,3Aug
Air Canada,49,Bulgaria,Faroe Islands,2,299,7:24,3:14,25Nov
Copa Airlines,148,South Africa,Cayman Islands,0,823,12:33,21:8,29Nov
Copa Airlines,114,Ecuador,Eritrea,3,583,4:4,2:2,14May
Air Canada,91,"Virgin Islands, British",Belgium,1,572,3:59,14:32,3Aug
Gol Transportes Aéreos,28,Qatar,Falkland Islands (Malvinas),0,265,24:51,6:22,22Sep
Azul Brazilian Airlines,95,Belize,Cyprus,3,830,18:44,12:43,13May
Conviasa,32,Cook Islands,"Micronesia, Federated States of",0,274,13:58,12:54,6Jul
Insel Air,90,Palau,Tunisia,3,237,12:57,19:3,27Jun
Alaska Airlines,57,Gabon,Puerto Rico,1,1880,9:34,8:28,19Aug
Insel Air,14,"Palestinian Territory, Occupied",Gabon,3,1369,18:31,2:9,17Jan
Azul Brazilian Airlines,73,"Korea, Democratic People's Republic of",Antarctica,1,705,11:12,11:31,6Jan
Aerolineas Argentinas Airlines,20,Iraq,"Saint Helena, Ascension and Tristan da Cunha",2,1117,2:52,11:11,17Dec
Copa Airlines,59,Paraguay,Grenada,1,1846,0:3,1:47,7Dec
Copa Airlines,31,Niue,French Southern Territories,2,335,6:10,20:22,26Apr
Air Canada,100,Burundi,Japan,2,1162,4:26,9:32,22Jul
Viva Air Colombia,72,Guadeloupe,Sierra Leone,0,1475,6:6,10:51,24Jul
Aerolineas Argentinas Airlines,70,Montenegro,Guinea-Bissau,3,1143,15:32,7:3,28Apr
Viva Air Colombia,89,Angola,Chile,3,1395,24:12,12:55,16Jul
Gol Transportes Aéreos,88,El Salvador,Rwanda,0,928,19:28,15:27,1Aug
Línea Aérea Amaszonas,49,Mauritania,Saint Lucia,0,1578,0:49,14:40,17Feb
Avianca Airlines,44,Central African Republic,Suriname,0,1428,22:5,1:33,21Apr
Insel Air,4,Romania,Nauru,1,1420,9:4,24:13,15Dec
LATAM Airlines,118,Grenada,Croatia,3,1968,8:39,16:32,3May
TAME,21,Germany,Ethiopia,3,1065,22:53,10:50,14Jul
LATAM Airlines,58,Libya,Malta,0,877,7:2,15:11,13Sep
Viva Air Colombia,13,Equatorial Guinea,Belgium,1,935,20:25,11:2,14Apr
Aeromexico,41,Bulgaria,Burundi,3,286,20:38,0:14,24Sep
Viva Air Colombia,14,Portugal,"Taiwan, Province of China",3,1249,24:55,15:49,12Jul
Conviasa,1,Burkina Faso,Rwanda,2,890,19:47,4:30,1Mar
Conviasa,12,United States Minor Outlying Islands,Canada,3,317,13:56,17:9,28Feb
LATAM Airlines,71,Yemen,Belarus,0,583,4:37,5:23,11Sep
LATAM Airlines,48,Russian Federation,Bahrain,2,1976,7:59,5:11,6Feb
Conviasa,68,Papua New Guinea,Mongolia,1,1940,5:27,15:47,10Jun
Copa Airlines,101,Malaysia,Papua New Guinea,3,1496,15:58,8:3,19Sep
American Airlines,17,Finland,French Southern Territories,0,1340,21:11,12:7,22May
Gol Transportes Aéreos,45,"Saint Helena, Ascension and Tristan da Cunha",Estonia,2,1683,22:54,3:4,8May
Copa Airlines,139,Nicaragua,Nigeria,3,1719,22:26,15:38,27May
Conviasa,62,Haiti,Nicaragua,2,1986,0:48,8:30,20Jun
Conviasa,81,Nicaragua,Greenland,0,883,4:38,1:22,5Feb
Avianca Airlines,134,Mongolia,Kiribati,2,995,17:9,0:20,8Oct
Avianca Airlines,94,British Indian Ocean Territory,Qatar,0,1187,3:1,4:11,18Sep
Azul Brazilian Airlines,87,Christmas Island,Tonga,1,827,3:0,7:5,10Oct
TAME,100,Macao,Madagascar,2,1653,15:25,16:33,16Sep
Gol Transportes Aéreos,85,Morocco,South Africa,3,610,2:1,7:42,25Dec
Viva Air Colombia,56,Romania,Tokelau,1,529,21:1,3:17,18Aug
Alaska Airlines,82,Spain,"Virgin Islands, British",1,616,23:0,20:27,13Nov
Boliviana de Aviación,71,"Virgin Islands, U.S.",Bosnia and Herzegovina,2,1705,13:27,0:22,28Apr
Alaska Airlines,100,Argentina,Monaco,3,783,3:13,9:0,1Mar
Alaska Airlines,14,Iceland,Faroe Islands,0,1456,21:43,4:1,4Aug
Conviasa,125,Algeria,Dominica,2,791,11:3,5:37,25Jul
Azul Brazilian Airlines,3,Marshall Islands,Luxembourg,0,1577,4:15,13:55,20Jun
Viva Air Colombia,96,"Macedonia, Republic of",Ireland,1,1620,6:38,13:34,26Aug
Air Canada,109,Cuba,"Korea, Democratic People's Republic of",2,871,19:21,17:49,11Jul
Aeromexico,33,Rwanda,Ireland,1,715,3:1,4:9,22Dec
Copa Airlines,20,Saint Martin (French part),Japan,1,1110,1:39,6:34,16Sep
Línea Aérea Amaszonas,109,United States,Austria,0,1799,4:26,5:54,3Oct
Boliviana de Aviación,140,Japan,Madagascar,0,1343,20:45,22:18,21Sep
Gol Transportes Aéreos,44,"Macedonia, Republic of",Turks and Caicos Islands,0,1447,11:43,5:27,16Mar
Air Canada,46,Sri Lanka,Swaziland,0,1335,19:19,11:15,29Jun
Aerolineas Argentinas Airlines,89,Holy See (Vatican City State),Guernsey,2,1147,23:6,18:32,19Feb
Avianca Airlines,78,Tonga,Kuwait,3,427,22:35,19:16,6Feb
Aeromexico,84,"Taiwan, Province of China",Guyana,2,453,12:24,14:33,25Jul
Aerolineas Argentinas Airlines,6,Bahrain,Switzerland,1,1602,5:37,19:24,7May
Aeromexico,64,Georgia,United Kingdom,1,335,3:58,16:45,5Mar
American Airlines,100,Papua New Guinea,Bermuda,1,1191,11:46,14:51,14May
TAME,68,Timor-Leste,Guyana,0,1798,13:25,19:31,12Feb
Boliviana de Aviación,125,Cambodia,Armenia,3,233,10:18,6:35,28Dec
Aerolineas Argentinas Airlines,78,Senegal,Faroe Islands,2,678,24:56,8:32,30Aug
Boliviana de Aviación,113,Barbados,Tokelau,3,691,22:14,4:24,12Apr
Avianca Airlines,130,Seychelles,Singapore,0,1967,5:14,12:50,19Jun
Boliviana de Aviación,102,Central African Republic,Armenia,0,937,14:39,7:55,23Oct
Avianca Airlines,95,Italy,France,2,1247,9:32,7:25,10Oct
TAME,83,Angola,Liechtenstein,0,704,15:49,13:52,23Jul
Azul Brazilian Airlines,4,Sri Lanka,Niue,2,292,17:11,17:32,5Apr
Gol Transportes Aéreos,89,Chile,Brazil,0,1031,8:39,6:21,11Nov
Línea Aérea Amaszonas,12,South Georgia and the South Sandwich Islands,Ukraine,1,1975,10:57,21:45,20Jun
Alaska Airlines,71,India,Nepal,2,1515,16:23,13:7,23Feb
Aerolineas Argentinas Airlines,15,Bosnia and Herzegovina,United States,1,1958,1:16,1:30,13Aug
Aerolineas Argentinas Airlines,78,"Virgin Islands, U.S.",Brunei Darussalam,1,1668,0:47,0:38,23Apr
Alaska Airlines,86,Kuwait,Romania,2,1993,21:31,20:11,19Aug
Viva Air Colombia,130,Belize,Palau,1,1604,10:49,21:23,1Jul
Aeromexico,117,Nicaragua,Timor-Leste,3,265,4:42,1:7,5Apr
TAME,115,Luxembourg,Falkland Islands (Malvinas),2,1459,2:29,19:25,29Oct
Alaska Airlines,90,Armenia,Saint Martin (French part),3,772,6:16,2:14,22Jul
LATAM Airlines,44,Saint Barthélemy,Greenland,2,1148,17:32,2:58,7Oct
Conviasa,80,Malaysia,Malaysia,1,1272,0:3,13:13,27Sep
Viva Air Colombia,71,Côte d'Ivoire,United Arab Emirates,0,1020,21:1,10:31,12Nov
Insel Air,141,Guernsey,San Marino,1,1761,6:35,11:16,23Aug
LATAM Airlines,143,Norway,Guadeloupe,3,1441,17:3,8:6,26Apr
Aerolineas Argentinas Airlines,91,Egypt,United Kingdom,3,1897,0:0,13:30,11Jan
Alaska Airlines,65,Eritrea,Mongolia,0,502,14:48,16:2,2Oct
Air Canada,8,Paraguay,Ethiopia,3,243,7:10,10:26,11Dec
Alaska Airlines,48,Saint Martin (French part),Poland,2,429,15:2,8:40,28Jun
Azul Brazilian Airlines,43,Chad,Tuvalu,3,449,17:45,22:30,15Feb
Conviasa,33,Costa Rica,Indonesia,0,603,22:49,0:56,15Oct
TAME,78,Antigua and Barbuda,Mauritania,0,1272,13:15,5:19,8Feb
Línea Aérea Amaszonas,110,Grenada,Samoa,2,211,22:23,14:29,20Feb
Gol Transportes Aéreos,104,Anguilla,Viet Nam,3,1791,17:0,7:42,6Dec
Línea Aérea Amaszonas,59,Turkey,Peru,1,529,11:3,11:38,26Jun
TAME,26,Guyana,Slovenia,2,1737,12:15,1:29,22Mar
Azul Brazilian Airlines,52,Iraq,Guyana,3,1066,13:33,0:33,8Oct
Viva Air Colombia,112,Somalia,New Caledonia,3,298,18:15,6:55,21Sep
LATAM Airlines,62,Montserrat,Estonia,0,1003,22:15,18:17,15Nov
LATAM Airlines,47,"Micronesia, Federated States of",Togo,0,428,11:55,21:37,15Aug
LATAM Airlines,84,Faroe Islands,"Korea, Democratic People's Republic of",2,289,2:22,21:15,11May
Avianca Airlines,40,Nepal,Cocos (Keeling) Islands,3,906,17:24,2:46,9Nov
TAME,23,Curaçao,"Tanzania, United Republic of",3,1434,1:45,17:45,28May
TAME,17,Cuba,Uruguay,1,429,18:55,24:48,20Dec
Viva Air Colombia,136,Sint Maarten (Dutch part),Ecuador,1,553,16:28,4:4,23Oct
Air Canada,88,Congo,Tokelau,1,663,16:7,13:22,25Mar
Gol Transportes Aéreos,138,"Bonaire, Sint Eustatius and Saba",El Salvador,3,352,4:11,4:36,2Nov
Avianca Airlines,6,Mayotte,Dominica,2,1819,9:54,16:54,4Nov
TAME,117,Albania,Saint Pierre and Miquelon,0,1997,20:1,7:0,2Feb
Insel Air,36,Slovenia,Cook Islands,2,1794,20:34,10:59,10Aug
Línea Aérea Amaszonas,1,Iraq,Hungary,3,306,10:10,9:32,29Sep
Copa Airlines,85,Switzerland,New Zealand,1,1652,22:53,12:52,26Aug
Insel Air,101,Saint Vincent and the Grenadines,Suriname,1,705,0:40,21:53,9Aug
Conviasa,76,Tajikistan,Honduras,3,1725,2:1,19:53,8May
Línea Aérea Amaszonas,113,Benin,Solomon Islands,1,397,9:36,20:41,16Jan
Gol Transportes Aéreos,82,Sao Tome and Principe,Iraq,1,1545,15:46,19:51,6Mar
Viva Air Colombia,16,Nicaragua,Macao,2,588,1:46,14:36,26Oct
Copa Airlines,66,Mexico,Tokelau,1,1052,14:20,18:1,7Jan
LATAM Airlines,60,"Tanzania, United Republic of",Algeria,1,1303,20:50,3:11,2Apr
Air Canada,17,China,Sierra Leone,2,1707,12:13,14:14,22Apr
Insel Air,77,"Taiwan, Province of China",Papua New Guinea,0,277,16:13,2:5,23Mar
Air Canada,41,Austria,South Georgia and the South Sandwich Islands,1,1588,1:8,16:29,10Aug
Azul Brazilian Airlines,13,Trinidad and Tobago,Saint Lucia,2,452,16:6,19:26,6Jul
Aeromexico,129,Solomon Islands,Philippines,0,1655,4:6,5:26,13May
Conviasa,118,"Congo, The Democratic Republic of the",Ethiopia,2,671,10:25,5:30,15May
LATAM Airlines,137,Myanmar,Aruba,3,348,23:1,9:39,29Dec
Copa Airlines,96,"Korea, Democratic People's Republic of","Bolivia, Plurinational State of",0,1715,17:0,12:46,5Feb
Aerolineas Argentinas Airlines,1,Cape Verde,Pitcairn,0,1292,19:29,12:28,13Jul
Conviasa,109,"Palestinian Territory, Occupied",Slovakia,3,1116,20:53,9:2,10Jul
Azul Brazilian Airlines,12,Saint Martin (French part),New Caledonia,1,983,2:36,6:48,2Dec
Viva Air Colombia,50,Luxembourg,South Georgia and the South Sandwich Islands,1,430,5:9,6:25,28Mar
Aeromexico,123,Aland Islands,Egypt,2,499,2:55,19:28,25Oct
Copa Airlines,62,Bouvet Island,Turkmenistan,1,570,23:6,24:33,10Sep
Línea Aérea Amaszonas,39,Falkland Islands (Malvinas),Bahamas,3,256,22:33,10:23,25Nov
Aerolineas Argentinas Airlines,10,"Bonaire, Sint Eustatius and Saba",Nigeria,2,907,15:2,14:2,12Dec
Boliviana de Aviación,46,Uganda,Sint Maarten (Dutch part),0,296,22:41,3:43,15Nov
LATAM Airlines,69,Mauritania,Faroe Islands,3,942,23:48,2:53,23Jul
Conviasa,29,South Africa,Sudan,2,1391,6:43,12:43,12May
Alaska Airlines,108,Romania,Saint Kitts and Nevis,2,210,9:38,8:57,16Dec
American Airlines,62,Afghanistan,Saint Lucia,2,1175,6:45,15:20,24Aug
TAME,11,Morocco,Sao Tome and Principe,1,1143,9:1,15:4,7Apr
Conviasa,128,Kenya,Pitcairn,0,509,11:24,2:28,4Dec
LATAM Airlines,134,Andorra,Belize,0,489,9:0,8:50,8Jun
Azul Brazilian Airlines,114,Mauritania,British Indian Ocean Territory,3,406,12:30,2:50,26Dec
American Airlines,53,French Southern Territories,Bahamas,3,1892,17:56,9:43,11Feb
American Airlines,44,Saint Pierre and Miquelon,Haiti,0,1706,12:47,13:16,30Mar
Copa Airlines,92,Algeria,Aland Islands,3,1094,1:2,24:24,16Aug
Aeromexico,34,Brazil,Sint Maarten (Dutch part),1,760,1:16,10:56,3Aug
Alaska Airlines,123,Guadeloupe,Seychelles,2,1411,8:38,7:38,12Aug
Insel Air,112,Morocco,Yemen,1,1631,13:12,17:11,23Apr
Gol Transportes Aéreos,5,Belarus,Macao,0,1647,23:25,17:7,3Oct
Aeromexico,138,Cuba,Jersey,2,1979,12:52,13:50,27Aug
Alaska Airlines,135,Pitcairn,Pitcairn,2,1444,19:49,19:39,21Nov
Viva Air Colombia,8,Panama,Bermuda,1,203,9:33,21:49,8Jun
Línea Aérea Amaszonas,147,Papua New Guinea,Portugal,1,351,15:44,11:12,27Nov
American Airlines,123,"Virgin Islands, U.S.",Monaco,3,1002,9:9,6:30,29Jan
Aeromexico,32,Yemen,Holy See (Vatican City State),1,356,11:4,18:27,12May
Conviasa,23,Qatar,Sint Maarten (Dutch part),1,877,16:16,2:17,20Mar
Aerolineas Argentinas Airlines,54,Saint Kitts and Nevis,Luxembourg,3,327,22:19,18:6,1Aug
LATAM Airlines,13,"Saint Helena, Ascension and Tristan da Cunha",Belize,1,1639,14:56,4:32,19Mar
Conviasa,115,Benin,"Palestinian Territory, Occupied",1,1521,22:59,2:22,22Mar
Copa Airlines,104,Benin,Chad,3,1884,23:31,4:39,14Sep
Viva Air Colombia,131,Northern Mariana Islands,United States,3,373,1:48,18:58,10Sep
Gol Transportes Aéreos,118,Liberia,Guam,0,956,22:46,15:2,26Apr
TAME,136,"Virgin Islands, British",Saint Vincent and the Grenadines,1,261,15:56,6:45,25Jul
TAME,149,Hungary,Cocos (Keeling) Islands,0,1863,23:47,19:31,30Aug
Aerolineas Argentinas Airlines,123,Mali,Thailand,3,456,5:14,6:1,26Oct
LATAM Airlines,93,United States Minor Outlying Islands,Marshall Islands,2,1288,21:41,19:35,9Apr
Gol Transportes Aéreos,110,Paraguay,Anguilla,2,309,16:10,2:55,3Dec
Aerolineas Argentinas Airlines,142,Zambia,Sudan,3,1685,17:8,7:5,16Jan
LATAM Airlines,27,Grenada,Guyana,2,1219,3:56,8:55,10Dec
Azul Brazilian Airlines,90,"Iran, Islamic Republic of",Vanuatu,0,1675,7:7,23:59,27Feb
Línea Aérea Amaszonas,34,Ghana,Papua New Guinea,2,583,13:42,8:11,21Mar
Conviasa,104,Cuba,Philippines,0,1068,1:55,12:7,24Jan
Conviasa,49,Denmark,Martinique,1,1829,21:47,5:21,1Oct
American Airlines,122,Martinique,Hungary,0,1944,11:21,20:8,7Jun
Air Canada,142,Réunion,Belize,1,244,4:31,10:46,13Feb
American Airlines,57,Ukraine,Eritrea,2,987,18:28,14:59,25Apr
Línea Aérea Amaszonas,69,Egypt,Liberia,1,1620,13:42,20:11,10Jan
Aeromexico,95,Sierra Leone,"Korea, Republic of",1,617,6:27,18:10,2May
Conviasa,134,Trinidad and Tobago,Cayman Islands,1,1471,14:11,17:22,4Jul
Air Canada,103,El Salvador,South Africa,3,565,8:20,13:43,14Jul
Aerolineas Argentinas Airlines,86,Portugal,Senegal,1,1066,4:10,19:55,8Nov
American Airlines,58,Tonga,Iraq,1,1362,14:4,13:18,16Aug
Boliviana de Aviación,136,Namibia,Djibouti,2,1325,21:11,18:33,9Mar
Avianca Airlines,130,Mauritius,Greenland,0,1988,19:46,15:28,25Sep
Alaska Airlines,138,Ethiopia,Belgium,2,1505,15:9,10:52,6Sep
Azul Brazilian Airlines,48,Kyrgyzstan,Sierra Leone,2,1936,11:29,19:16,4Apr
Copa Airlines,30,Pitcairn,Uruguay,1,732,22:41,3:40,23Aug
Boliviana de Aviación,49,Sierra Leone,Saint Kitts and Nevis,2,1823,22:56,8:27,2Feb
Copa Airlines,68,Russian Federation,"Congo, The Democratic Republic of the",2,1218,21:39,2:39,4Jan
Azul Brazilian Airlines,109,Cayman Islands,Solomon Islands,1,262,6:49,11:17,27Feb
Gol Transportes Aéreos,150,Cyprus,Andorra,0,1115,4:48,22:19,9Apr
Viva Air Colombia,29,Thailand,Cape Verde,2,1083,19:31,6:44,4Aug
Conviasa,146,Tonga,Qatar,2,1939,19:21,0:35,10Mar
Conviasa,92,Gambia,Saint Vincent and the Grenadines,0,850,7:11,1:3,3Jul
Alaska Airlines,107,Cambodia,Albania,3,1161,23:56,3:1,13Sep
Alaska Airlines,44,Algeria,South Africa,2,1663,15:12,15:12,23Nov
Conviasa,29,Norway,Mauritania,0,583,7:11,15:15,14May
Air Canada,113,Tokelau,"Micronesia, Federated States of",0,704,16:11,24:46,16Nov
Avianca Airlines,123,Mayotte,Georgia,0,1254,2:1,24:35,13Jan
Azul Brazilian Airlines,118,"Venezuela, Bolivarian Republic of",Guinea,3,1460,5:11,5:7,7Sep
American Airlines,98,Portugal,Tunisia,1,928,23:19,3:38,26Apr
Copa Airlines,11,Kyrgyzstan,Uganda,0,1708,0:45,11:17,18Nov
Copa Airlines,148,China,Nicaragua,3,1397,9:54,20:47,14Oct
Air Canada,147,Lebanon,Hungary,3,1233,2:53,19:6,15Sep
Avianca Airlines,127,Burkina Faso,Luxembourg,2,1060,12:37,3:31,14Feb
Copa Airlines,113,Puerto Rico,Lesotho,3,1073,10:5,2:0,18Oct
Azul Brazilian Airlines,123,Réunion,Papua New Guinea,1,1501,15:38,16:29,27Sep
Aeromexico,29,Nicaragua,Swaziland,0,1136,7:10,1:22,30May
Viva Air Colombia,74,Gabon,India,3,1569,10:9,10:25,3Jun
Insel Air,86,Gabon,Benin,2,1229,9:56,5:14,29Nov
Viva Air Colombia,71,Hungary,Fiji,0,1601,16:50,9:25,7Dec
Línea Aérea Amaszonas,135,Malawi,Estonia,2,704,12:56,5:25,16May
Alaska Airlines,127,Azerbaijan,Fiji,2,1873,1:43,23:57,10Apr
Copa Airlines,73,Peru,Jordan,2,1388,13:41,1:30,2Dec
Copa Airlines,107,Guyana,Romania,1,1574,8:47,11:51,2Aug
Alaska Airlines,72,Switzerland,Hungary,0,1669,19:56,24:20,23Apr
Gol Transportes Aéreos,130,New Zealand,Qatar,3,440,24:10,10:33,24May
TAME,115,Pitcairn,American Samoa,0,545,14:8,20:31,14Aug
